allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
Adventist Today,News Media,Lean Left,https://atoday.org/,https://www.allsides.com/news-source/adventist-today-media-bias
Advocate,News Media,Lean Left,https://www.advocate.com/,https://www.allsides.com/news-source/advocate-media-bias-0
AFP Fact Check,Fact Check,Left,https://factcheck.afp.com/,https://www.allsides.com/news-source/afp-fact-check-media-bias
AframNews,News Media,Left,https://aframnews.com/,https://www.allsides.com/news-source/aframnews-media-bias
African American Conservatives,News Media,Right,http://africanamericanconservatives.com/,https://www.allsides.com/news-source/african-american-conservatives-media-bias
African American Intellectual History Society,Think Tank / Policy Group,Left,https://www.aaihs.org/,https://www.allsides.com/news-source/african-american-intellectual-history-society-media-bias
Afro,News Media,Left,https://afro.com/,https://www.allsides.com/news-source/afro-media-bias
Aiken Standard,News Media,Center,http://www.aikenstandard.com/,https://www.allsides.com/news-source/aiken-standard-media-bias
AJ+,News Media,Left,https://www.ajplus.net/,https://www.allsides.com/news-source/aj-media-bias
Akron Beacon Journal,News Media,Center,https://www.beaconjournal.com/,https://www.allsides.com/news-source/akron-beacon-journal-media-bias
Al Jazeera,News Media,Lean Left,https://www.aljazeera.com/,https://www.allsides.com/news-source/al-jazeera-media-bias
AL.com,News Media,Center,http://www.al.com,https://www.allsides.com/news-source/alcom
Alabama News Center,News Media,Center,https://alabamanewscenter.com/,https://www.allsides.com/news-source/alabama-news-center-media-bias
Alabama News Network,News Media,Center,https://www.alabamanews.net/,https://www.allsides.com/news-source/alabama-news-network-media-bias
Alabama Political Reporter,News Media,Lean Left,https://www.alreporter.com/,https://www.allsides.com/news-source/alabama-political-reporter-media-bias
Alamosa News,News Media,Center,https://www.alamosanews.com/,https://www.allsides.com/news-source/alamosa-news-media-bias
Alaska Beacon,News Media,Center,https://alaskabeacon.com/,https://www.allsides.com/news-source/alaska-beacon-media-bias
Alaska Commons,News Media,Center,https://www.alaskacommons.com/,https://www.allsides.com/news-source/alaska-commons-media-bias
Alaska Native News,News Media,Center,https://alaska-native-news.com/,https://www.allsides.com/news-source/alaska-native-news-media-bias
Alaska Public Media,News Media,Center,http://alaskapublic.org,https://www.allsides.com/news-source/alaska-public-media-media-bias
Alaska Watchman,News Media,Right,https://alaskawatchman.com/,https://www.allsides.com/news-source/alaska-watchman-media-bias
Alaska's News Source KTUU/KYES,News Media,Center,https://www.alaskasnewssource.com/,https://www.allsides.com/news-source/alaskas-news-source-ktuukyes-media-bias
Albany Democrat-Herald,News Media,Center,https://democratherald.com/,https://www.allsides.com/news-source/albany-democrat-herald-media-bias
Albert Lea Tribune,News Media,Center,https://www.albertleatribune.com/,https://www.allsides.com/news-source/albert-lea-tribune-media-bias
Albuquerque Journal,News Media,Center,https://www.abqjournal.com/,https://www.allsides.com/news-source/albuquerque-journal-media-bias
All About Arizona News,News Media,Center,https://www.allaboutarizonanews.com/,https://www.allsides.com/news-source/all-about-arizona-news-media-bias
Alleghany News,News Media,Center,https://www.alleghanynews.com/,https://www.allsides.com/news-source/alleghany-news-media-bias
Alliance for Trade Enforcement,Reference,Center,https://enforcementalliance.org/,https://www.allsides.com/news-source/alliance-trade-enforcement-media-bias
AllSides,News Media,Mixed,https://www.allsides.com,https://www.allsides.com/news-source/allsides
Alpha News,News Media,Right,https://alphanews.org/,https://www.allsides.com/news-source/alpha-news-media-bias
AlterNet,News Media,Left,http://www.alternet.org/,https://www.allsides.com/news-source/alternet-media-bias
Amarillo Globe-News,News Media,Center,https://www.amarillo.com/,https://www.allsides.com/news-source/amarillo-globe-news-media-bias
America's 1st Freedom,News Media,Lean Right,https://www.americas1stfreedom.org/,https://www.allsides.com/news-source/americas-1st-freedom-media-bias
American Conservation Coalition,Think Tank / Policy Group,Lean Right,https://www.acc.eco/,https://www.allsides.com/news-source/american-conservation-coalition-media-bias
American Conservative Union,Think Tank / Policy Group,Right,http://conservative.org/,https://www.allsides.com/news-source/american-conservative-union
American Enterprise Institute,Think Tank / Policy Group,Lean Right,,https://www.allsides.com/news-source/american-enterprise-institute
American Greatness,News Media,Right,https://amgreatness.com/,https://www.allsides.com/news-source/american-greatness-media-bias
American Press,News Media,Lean Left,http://www.americanpress.com/,https://www.allsides.com/news-source/american-press
American Psychological Association,Reference,Center,https://www.apa.org/,https://www.allsides.com/news-source/american-psychological-association-media-bias
American Thinker,News Media,Right,http://www.americanthinker.com/,https://www.allsides.com/news-source/american-thinker
American Values Coalition,Think Tank / Policy Group,Center,https://americanvalues.org/,https://www.allsides.com/news-source/american-values-coalition-media-bias
Americans for Democratic Action,Think Tank / Policy Group,Left,http://www.adaction.org,https://www.allsides.com/news-source/americans-democratic-action
Americans for Tax Reform,Think Tank / Policy Group,Right,http://www.atr.org/,https://www.allsides.com/news-source/americans-tax-reform
Ammo.com,Reference,Right,https://ammo.com/,https://www.allsides.com/news-source/ammocom-media-bias
Amnesty International,Think Tank / Policy Group,Lean Left,https://www.amnesty.org/,https://www.allsides.com/news-source/amnesty-international
Anchorage Daily News,News Media,Center,https://www.adn.com/,https://www.allsides.com/news-source/anchorage-daily-news
Anchorage Press,News Media,Center,https://www.anchoragepress.com/,https://www.allsides.com/news-source/anchorage-press-media-bias
Anderson Independent-Mail,News Media,Center,https://www.independentmail.com/,https://www.allsides.com/news-source/anderson-independent-mail-media-bias
AP-NORC,Reference,Center,https://apnorc.org/,https://www.allsides.com/news-source/ap-norc-media-bias
Apple News,News Media,Lean Left,https://www.apple.com/apple-news/,https://www.allsides.com/news-source/apple-news-media-bias
Aquinas College Saint,News Media,Left,https://thesaintaq.com/,https://www.allsides.com/news-source/aquinas-college-saint
Arc Digital,News Media,Center,https://www.arcdigital.media/,https://www.allsides.com/news-source/arc-digital-media-bias
Argus Leader,News Media,Center,https://www.argusleader.com/,https://www.allsides.com/news-source/argus-leader-media-bias
Arizona Daily Star: tucson.com,News Media,Center,https://tucson.com/,https://www.allsides.com/news-source/arizona-daily-star-tucsoncom-media-bias
Arizona Mirror,News Media,Center,https://www.azmirror.com/,https://www.allsides.com/news-source/arizona-mirror-media-bias
Arizona's Family,News Media,Center,https://www.azfamily.com/,https://www.allsides.com/news-source/arizonas-family-media-bias
Ark Valley Voice,News Media,Center,https://arkvalleyvoice.com/,https://www.allsides.com/news-source/ark-valley-voice-media-bias
Arkansas Business,News Media,Center,https://www.arkansasbusiness.com/,https://www.allsides.com/news-source/arkansas-business-media-bias
Arkansas Democrat-Gazette,News Media,Left,http://www.arkansasonline.com/,https://www.allsides.com/news-source/arkansas-democrat-gazette
Arkansas Times,News Media,Left,https://arktimes.com/,https://www.allsides.com/news-source/arkansas-times-media-bias
Ars Technica,News Media,Center,https://arstechnica.com/,https://www.allsides.com/news-source/ars-technica-media-bias
Asbury Park Press,News Media,Center,https://www.app.com/,https://www.allsides.com/news-source/asbury-park-press-media-bias
Associated Press,News Media,Left,https://apnews.com/,https://www.allsides.com/news-source/associated-press-media-bias
Associated Press,News Media,Lean Left,https://apnews.com/,https://www.allsides.com/news-source/associated-press-media-bias-0
Associated Press Fact Check,News Media,Lean Left,https://apnews.com/hub/ap-fact-check,https://www.allsides.com/news-source/ap-fact-check-media-bias
Association for Psychological Science,Think Tank / Policy Group,Center,http://www.psychologicalscience.org/,https://www.allsides.com/news-source/association-psychological-science
Atlanta Black Star,News Media,Lean Left,https://atlantablackstar.com/,https://www.allsides.com/news-source/atlanta-black-star-media-bias
Atlanta Journal-Constitution,News Media,Lean Left,http://www.ajc.com/,https://www.allsides.com/news-source/atlanta-journal-constitution
Atlas Network,Think Tank / Policy Group,Right,https://www.atlasnetwork.org/,https://www.allsides.com/news-source/atlas-network
AtlasOne,Think Tank / Policy Group,Lean Right,http://atlasone.org/,https://www.allsides.com/news-source/atlasone
Attitude Magazine,News Media,Lean Left,https://attitude.co.uk/,https://www.allsides.com/news-source/attitude-magazine-media-bias
Augusta Free Press,News Media,Lean Left,https://augustafreepress.com/,https://www.allsides.com/news-source/augusta-free-press-media-bias
Austin American-Statesman,News Media,Center,https://www.statesman.com/,https://www.allsides.com/news-source/austin-american-statesman-media-bias
Austin American-Statesman,News Media,Lean Left,http://www.mystatesman.com/,https://www.allsides.com/news-source/austin-american-statesman
Austin Daily Herald,News Media,Center,https://www.austindailyherald.com/,https://www.allsides.com/news-source/austin-daily-herald-media-bias
Avenue News,News Media,Center,https://www.avenuenews.com/,https://www.allsides.com/news-source/avenue-news-media-bias
Avoyelles Journal,News Media,Center,https://www.avoyellestoday.com/,https://www.allsides.com/news-source/avoyelles-journal-media-bias
Axios,News Media,Lean Left,https://www.axios.com/,https://www.allsides.com/news-source/axios
AZ Central,News Media,Center,https://www.azcentral.com/,https://www.allsides.com/news-source/az-central-media-bias
Babylon Bee (Humor),News Media,Lean Right,https://babylonbee.com/,https://www.allsides.com/news-source/babylon-bee-media-bias
Ballotpedia,Reference,Center,http://ballotpedia.org/,https://www.allsides.com/news-source/ballotpedia
Baltimore Sun,News Media,Center,https://www.baltimoresun.com/,https://www.allsides.com/news-source/baltimore-sun
Bangor Daily News,News Media,Lean Left,https://www.bangordailynews.com/,https://www.allsides.com/news-source/bangor-daily-news-media-bias
Baptist News Global,News Media,Lean Left,https://baptistnews.com/,https://www.allsides.com/news-source/baptist-news-global-media-bias
Baptist Press,News Media,Center,https://www.baptistpress.com/,https://www.allsides.com/news-source/baptist-press-media-bias
Baptist Standard,News Media,Center,https://www.baptiststandard.com/,https://www.allsides.com/news-source/baptist-standard-media-bias
Barnstable Patriot,News Media,Center,http://www.barnstablepatriot.com/,https://www.allsides.com/news-source/barnstable-patriot
Barron's,News Media,Center,https://www.barrons.com/,https://www.allsides.com/news-source/barrons-media-bias
Bartlesville Examiner-Enterprise,News Media,Center,https://www.examiner-enterprise.com/,https://www.allsides.com/news-source/bartlesville-examiner-enterprise-media-bias
Bay to Bay News,News Media,Center,https://baytobaynews.com/,https://www.allsides.com/news-source/bay-bay-news-media-bias
BBC Fact Check,Fact Check,Center,https://www.bbc.com/news/reality_check,https://www.allsides.com/news-source/reality-check-bbc-media-bias
BBC News,News Media,Center,http://www.bbc.com/,https://www.allsides.com/news-source/bbc-news-media-bias
Bearing Drift,News Media,Right,http://www.bearingdrift.com,https://www.allsides.com/news-source/bearing-drift
Beaumont Enterprise,News Media,Center,https://www.beaumontenterprise.com/,https://www.allsides.com/news-source/beaumont-enterprise-media-bias
Beaver County Times,News Media,Center,https://www.timesonline.com/,https://www.allsides.com/news-source/beaver-county-times-media-bias
Belleville News-Democrat,News Media,Center,https://www.bnd.com/,https://www.allsides.com/news-source/belleville-news-democrat-media-bias
Benenson Strategy Group,Reference,Lean Left,https://www.bsgco.com/,https://www.allsides.com/news-source/benneson-strategy-group-and-public-opinion-strategies-media-bias
Bergen Record (northjersey.com),News Media,Lean Left,https://www.northjersey.com/,https://www.allsides.com/news-source/bergen-record-northjerseycom-media-bias
BET,News Media,Lean Left,https://www.bet.com/,https://www.allsides.com/news-source/bet-media-bias
Better Government Association,Think Tank / Policy Group,Center,,https://www.allsides.com/news-source/better-government-association-media-bias
Beyond Today,News Media,Right,https://www.ucg.org/beyond-today,https://www.allsides.com/news-source/beyond-today-media-bias
Biblical Gender Roles,News Media,Right,https://biblicalgenderroles.com/,https://www.allsides.com/news-source/biblical-gender-roles-media-bias
Biblical Sexology,News Media,Right,https://biblicalsexology.com/,https://www.allsides.com/news-source/biblical-sexology-media-bias
Big Island Now News,News Media,Center,https://bigislandnow.com/,https://www.allsides.com/news-source/big-island-now-news-media-bias
Billings Gazette,News Media,Center,https://billingsgazette.com/,https://www.allsides.com/news-source/billings-gazette-media-bias-0
Billings Gazette,News Media,Center,https://billingsgazette.com/,https://www.allsides.com/news-source/billings-gazette-media-bias
Bing News,News Media,Lean Left,https://www.bing.com/news,https://www.allsides.com/news-source/bing-news-media-bias
Bing Search,News Media,Lean Left,https://www.bing.com/,https://www.allsides.com/news-source/bing-search-media-bias
Bipartisan Policy Center,Think Tank / Policy Group,Center,https://bipartisanpolicy.org/,https://www.allsides.com/news-source/bipartisan-policy-center-media-bias-0
Birmingham Live,News Media,Center,https://www.birminghammail.co.uk/,https://www.allsides.com/news-source/birmingham-live-media-bias
Bizpac Review,News Media,Right,https://www.bizpacreview.com/,https://www.allsides.com/news-source/bizpac-review-media-bias
Black Agenda Report,News Media,Left,https://blackagendareport.com/,https://www.allsides.com/news-source/black-agenda-report-media-bias
Black Community News,News Media,Right,https://blackcommunitynews.com/,https://www.allsides.com/news-source/black-community-news-media-bias
Black Enterprise,News Media,Lean Left,https://www.blackenterprise.com/,https://www.allsides.com/news-source/black-enterprise-media-bias
Black News,News Media,Left,https://blacknews.com/,https://www.allsides.com/news-source/black-news-media-bias
Black News Channel,News Media,Lean Left,https://bnc.tv/,https://www.allsides.com/news-source/black-news-channel-media-bias
Blavity,News Media,Left,https://blavity.com/,https://www.allsides.com/news-source/blavity-media-bias
Block Club Chicago,News Media,Left,https://blockclubchicago.org/,https://www.allsides.com/news-source/book-club-chicago-media-bias
Bloomberg,News Media,Lean Left,http://www.bloomberg.com/,https://www.allsides.com/news-source/bloomberg-media-bias
Blue Virginia,News Media,Left,http://www.bluevirginia.us,https://www.allsides.com/news-source/blue-virginia
Bluefield Daily Telegraph,News Media,Center,https://www.bdtonline.com/,https://www.allsides.com/news-source/bluefield-daily-telegraph-media-bias
Bluffton Icon,News Media,Center,https://www.blufftonicon.com/,https://www.allsides.com/news-source/bluffton-icon-media-bias
Boing Boing,News Media,Left,http://boingboing.net/,https://www.allsides.com/news-source/boing-boing
Boise dev,News Media,Center,https://boisedev.com/,https://www.allsides.com/news-source/boise-dev-media-bias
Boise State Public Radio,News Media,Center,https://www.boisestatepublicradio.org/,https://www.allsides.com/news-source/boise-state-public-radio-media-bias
Bolts,News Media,Left,https://boltsmag.org/,https://www.allsides.com/news-source/bolts-media-bias
Bonner County Daily Bee,News Media,Center,https://bonnercountydailybee.com/,https://www.allsides.com/news-source/bonner-county-daily-bee-media-bias
Border Report,News Media,Center,https://www.borderreport.com/,https://www.allsides.com/news-source/borderreport-media-bias
Boston 25 News,News Media,Center,https://www.boston25news.com/,https://www.allsides.com/news-source/boston-25-news-media-bias
Boston Herald,News Media,Lean Right,https://www.bostonherald.com/,https://www.allsides.com/news-source/boston-herald-media-bias
Boston Review,News Media,Lean Left,https://www.bostonreview.net/,https://www.allsides.com/news-source/boston-review-media-bias
Boston.com,News Media,Center,https://www.boston.com/,https://www.allsides.com/news-source/bostoncom-media-bias
Bowling Green Daily News,News Media,Lean Left,http://www.bgdailynews.com/,https://www.allsides.com/news-source/bowling-green-daily-news
Box Elder News Journal,News Media,Center,https://www.benewsjournal.com/,https://www.allsides.com/news-source/box-elder-news-journal-media-bias
Bozeman Daily Chronicle,News Media,Center,https://www.bozemandailychronicle.com/,https://www.allsides.com/news-source/bozeman-daily-chronicle-media-bias
Braver Angels,Think Tank / Policy Group,Mixed,https://braverangels.org/,https://www.allsides.com/news-source/braver-angels-media-bias
Breitbart Fact Check,Fact Check,Right,https://www.breitbart.com/tag/fact-check/,https://www.allsides.com/news-source/breitbart-fact-check-media-bias
Breitbart News,News Media,Right,http://www.breitbart.com/,https://www.allsides.com/news-source/breitbart
Brendan O'Hare,Humor & Satire,Lean Left,,https://www.allsides.com/news-source/brendan-ohare-media-bias
Brennan Center for Justice,Think Tank / Policy Group,Lean Left,,https://www.allsides.com/news-source/brennan-center-justice-media-bias
Bret Weinstein's DarkHorse Podcast,Video,Center,https://www.youtube.com/c/BretWeinsteinDarkHorse/playlists,https://www.allsides.com/news-source/bret-weinsteins-darkhorse-podcast-media-bias
Bridge Alliance,Think Tank / Policy Group,Lean Left,https://www.bridgealliance.us/,https://www.allsides.com/news-source/bridge-alliance-media-bias
Bridgemi.com,News Media,Center,https://www.bridgemi.com/,https://www.allsides.com/news-source/bridgemicom-media-bias
BridgeUSA,News Media,Mixed,https://www.bridgeusa.org/,https://www.allsides.com/news-source/bridgeusa-media-bias-0
Bridging Divides Initiative,Think Tank / Policy Group,Center,https://bridgingdivides.princeton.edu/,https://www.allsides.com/news-source/bridging-divides-initiative-media-bias
Brookings Institution,Think Tank / Policy Group,Center,https://www.brookings.edu/,https://www.allsides.com/news-source/brookings-institute
Brown Girl Magazine,News Media,Left,https://browngirlmagazine.com/,https://www.allsides.com/news-source/brown-girl-magazine-media-bias
Brownstone Institute,News Media,Right,https://brownstone.org/,https://www.allsides.com/news-source/brownstone-institute-media-bias
Brush News-Tribune,News Media,Center,https://www.brushnewstribune.com/,https://www.allsides.com/news-source/brush-news-tribune-media-bias
Burlington County Times,News Media,Center,https://www.burlingtoncountytimes.com/,https://www.allsides.com/news-source/burlington-county-times-media-bias
Burlington Free Press,News Media,Center,https://www.burlingtonfreepress.com/,https://www.allsides.com/news-source/burlington-free-press-media-bias
Business Insider,News Media,Lean Left,https://www.insider.com/,https://www.allsides.com/news-source/insider-media-bias
Business View Caribbean,News Media,Center,https://businessviewcaribbean.com/,https://www.allsides.com/news-source/business-view-caribbean-media-bias
Bustle,News Media,Lean Left,http://www.bustle.com/,https://www.allsides.com/news-source/bustle
Butler Radio,News Media,Center,https://butlerradio.com/,https://www.allsides.com/news-source/butler-radio-media-bias
BuzzFeed News,News Media,Left,http://buzzfeednews.com,https://www.allsides.com/news-source/buzzfeed-media-bias
Byron Donalds,News Media,Lean Right,https://www.byrondonalds.com/,https://www.allsides.com/news-source/byron-donalds-media-bias
C-SPAN,News Media,Center,http://www.c-span.org/,https://www.allsides.com/news-source/c-span
California 18,News Media,Center,https://california18.com/,https://www.allsides.com/news-source/california-18-media-bias
California Examiner,News Media,Center,https://californiaexaminer.net/,https://www.allsides.com/news-source/california-examiner-media-bias
California Globe,News Media,Center,https://californiaglobe.com/,https://www.allsides.com/news-source/california-globe-media-bias
CalMatters,News Media,Center,http://calmatters.org/,https://www.allsides.com/news-source/calmatters
CalWatchdog,News Media,Center,http://www.calwatchdog.com/,https://www.allsides.com/news-source/calwatchdog
Cape Cod Times,News Media,Center,https://www.capecodtimes.com/,https://www.allsides.com/news-source/cape-cod-times-media-bias
Cape Gazette,News Media,Center,https://www.capegazette.com/,https://www.allsides.com/news-source/cape-gazette-media-bias
Capecod.com,News Media,Center,https://www.capecod.com/,https://www.allsides.com/news-source/capecodcom-media-bias
Capital & Main,News Media,Lean Left,https://capitalandmain.com/,https://www.allsides.com/news-source/capital-main-media-bias
Capital Gazette,News Media,Center,https://www.capitalgazette.com/,https://www.allsides.com/news-source/capital-gazette-media-bias
Capital Research Center,Think Tank / Policy Group,Lean Right,https://capitalresearch.org/,https://www.allsides.com/news-source/capital-research-center-media-bias
Capitol Beat,News Media,Center,https://capitol-beat.org/,https://www.allsides.com/news-source/capitol-beat-media-bias
Capitol Weekly,News Media,Center,https://capitolweekly.net/,https://www.allsides.com/news-source/capitol-weekly-media-bias-0
Cardinal News,News Media,Center,https://cardinalnews.org/,https://www.allsides.com/news-source/cardinal-news-media-bias
Care2,News Media,Left,http://www.care2.com,https://www.allsides.com/news-source/care-2
Carlsbad Current-Argus,News Media,Center,https://www.currentargus.com/,https://www.allsides.com/news-source/carlsbad-current-argus-media-bias
Carnegie Endowment for International Peace,Think Tank / Policy Group,Center,http://carnegieendowment.org,https://www.allsides.com/news-source/carnegie-endowment-international-peace
Carriage Towne News,News Media,Center,https://www.carriagetownenews.com/,https://www.allsides.com/news-source/carriage-towne-news
Casper Star-Tribune,News Media,Center,https://trib.com/,https://www.allsides.com/news-source/casper-star-tribune-media-bias
Catholic Digest,News Media,Lean Right,https://www.catholicdigest.com/,https://www.allsides.com/news-source/catholic-digest-media-bias
Catholic News Agency,News Media,Right,https://www.catholicnewsagency.com/,https://www.allsides.com/news-source/catholic-news-agency-media-bias
Catholic News Service,News Media,Center,https://catholicnews.com/,https://www.allsides.com/news-source/catholic-news-service-media-bias
Cato Institute,Think Tank / Policy Group,Lean Right,http://www.cato.org,https://www.allsides.com/news-source/cato-institute
CBC News,News Media,Lean Left,https://www.cbc.ca/,https://www.allsides.com/news-source/cbc-news-media-bias
CBN,News Media,Right,http://www1.cbn.com,https://www.allsides.com/news-source/cbn
CBS 17,News Media,Center,https://www.cbs17.com/,https://www.allsides.com/news-source/cbs-17-media-bias
CBS 3 WWMT,News Media,Lean Left,https://wwmt.com/,https://www.allsides.com/news-source/cbs-3-wwmt-media-bias
CBS 4 KDBC,News Media,Center,https://cbs4local.com/,https://www.allsides.com/news-source/cbs-4-kdbc-media-bias
CBS 58,News Media,Center,https://cbs58.com/,https://www.allsides.com/news-source/cbs-58-media-bias
CBS 7 Midland,News Media,Center,https://www.cbs7.com/,https://www.allsides.com/news-source/cbs-7-midland-media-bias
CBS Austin KEYE,News Media,Center,https://cbsaustin.com/,https://www.allsides.com/news-source/cbs-austin-keye-media-bias
CBS News (Online),News Media,Lean Left,http://www.cbsnews.com/,https://www.allsides.com/news-source/cbs-news-media-bias
Cecil Whig,News Media,Center,https://www.cecildaily.com/,https://www.allsides.com/news-source/cecil-whig-media-bias
Center For American Progress,Think Tank / Policy Group,Lean Left,http://www.americanprogress.org,https://www.allsides.com/news-source/center-american-progress
Center for Countering Digital Hate,Think Tank / Policy Group,Left,https://counterhate.com/,https://www.allsides.com/news-source/center-countering-digital-hate-media-bias
Center for Defense Information,,Lean Left,,https://www.allsides.com/news-source/center-defense-information
Center for Media & Democracy PR Watch,Think Tank / Policy Group,Lean Left,http://www.prwatch.org,https://www.allsides.com/news-source/center-media-democracy-pr-watch
Center for Public Integrity,News Media,Lean Left,http://www.publicintegrity.org/,https://www.allsides.com/news-source/center-public-integrity
Center for Responsive Politics,,Lean Left,,https://www.allsides.com/news-source/center-responsive-politics
Center for Strategic and Budgetary Assessments,Think Tank / Policy Group,Lean Right,,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments
Center for Strategic and International Studies,,Center,,https://www.allsides.com/news-source/center-strategic-and-international-studies
Center on Budget and Policy Priorities,Think Tank / Policy Group,Left,http://www.cbpp.org,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0
Center Post Dispatch,News Media,Center,https://centerpostdispatch.com/,https://www.allsides.com/news-source/center-post-dispatch-media-bias
Central Jersey News,News Media,Center,https://centraljersey.com/,https://www.allsides.com/news-source/central-jersey-news-media-bias
Central Maine Morning Sentinel,News Media,Center,https://www.centralmaine.com/,https://www.allsides.com/news-source/central-maine-morning-sentinel-media-bias
Central News Channel Nebraska,News Media,Center,https://central.newschannelnebraska.com/,https://www.allsides.com/news-source/central-news-channel-nebraska-media-bias
Centre View,News Media,Lean Left,http://www.centre-view.com,https://www.allsides.com/news-source/centre-view
